제목,가격,등수,연도
아주 희미한 빛으로도 (최은영 소설),"15,120",소설 5위,2023.08.07.
도시와 그 불확실한 벽 (무라카미 하루키 장편소설),"10,620",소설 6위,2023.09.06.
페어워닝 (마이클 코넬리 장편소설),"17,550",소설 103위,2024.01.23.
구름에 달 가리운 방금 전까지 인간이었다,"12,600",소설 149위,2024.01.31.
요괴어사 2: 각성 (역사 판타지 소설),"18,810",소설 94위,2023.12.18.
미들마치 1,"15,120",소설 125위,2024.01.15.
파친코(합본 한정판) (이민진 장편소설),"10,584",소설 57위,2023.12.20.
위시 (니컬러스 스파크스 장편소설),"15,390",소설 112위,2023.12.01.
라디오 체조 (오쿠다 히데오 장편소설),"15,390",소설 56위,2023.11.28.
해리 포터와 아즈카반의 죄수(미나리마 에디션),"11,340",소설 97위,2023.10.03.
죽음 이야기(상) (Faust Box),"23,090",소설 126위,2024.01.10.
죽음 이야기(하) (Faust Box),"14,970",소설 150위,2024.01.10.
아주 오래된 시에서 찾아낸 삶의 해답 (혼자라도 걱정 않는 삶),"14,540",시/에세이 130위,2024.01.25.
눈에 갇힌 외딴 산장에서,"12,240",소설 37위,2023.07.18.
메리골드 마음 사진관,"32,490",소설 2위,2024.01.12.
꿀벌의 예언 2 (베르나르 베르베르 장편소설),"10,260",소설 139위,2023.06.22.
지구 생물체는 항복하라 (정보라 연작소설집),"10,260",소설 66위,2024.01.29.
완전 부부 범죄,"15,390",소설 123위,2024.01.18.
전생했더니 슬라임이었던 건에 대하여 21 (S Novel+),"16,080",소설 92위,2024.01.18.
사라진 것들 (앤드루 포터 소설),"15,300",소설 13위,2024.01.15.
명탐정의 창자,"14,370",소설 91위,2024.01.31.
속임수의 섬,"12,150",소설 55위,2024.01.29.
약사의 혼잣말 13 (카니발 플러스),"14,370",소설 89위,2024.01.10.
듄의 세계 (『듄』에 영감을 준 모든 것들),"13,260",소설 59위,2024.01.04.
호밀밭의 파수꾼,"9,720",소설 67위,2023.01.17.
돌연한 출발 (프란츠 카프카 단편선),"10,260",소설 54위,2023.04.07.
이처럼 사소한 것들,"16,200",소설 1위,2023.11.27.
작은 책방,"11,340",소설 90위,2023.12.21.
파친코 2 (이민진 장편소설│애플TV 드라마 '파친코' 원작),"14,970",소설 113위,2022.08.25.
귀신들의 땅 (천쓰홍 장편소설),"12,600",소설 20위,2023.12.29.
꿰맨 눈의 마을 (조예은 소설),"15,390",소설 109위,2023.12.15.
나미야 잡화점의 기적(무선 보급판) (히가시노 게이고 장편소설),"11,340",소설 81위,2022.12.19.
왜 나는 너를 사랑하는가(70만 부 기념 리커버),"7,700",소설 24위,2022.11.10.
단 한 사람 (최진영 장편소설),"19,800",소설 42위,2023.09.30.
날씨가 좋으면 찾아가겠어요 (이도우 장편소설),"11,200",소설 119위,2023.11.22.
인간 실격,"8,550",소설 14위,2012.04.10.
데미안,"13,680",소설 16위,2009.01.20.
참을 수 없는 존재의 가벼움 (국내 출간 30주년 기념 특별판),"10,080",소설 21위,2018.06.20.
말하고 싶은 비밀 (영화 '말하고 싶은 비밀' 원작),"12,420",소설 60위,2023.12.08.
모비딕,"15,390",소설 38위,2022.09.02.
7인 1역,"13,950",소설 22위,2023.12.01.
"설자은, 금성으로 돌아오다 (정세랑 장편소설)","14,370",소설 134위,2023.10.30.
스파이 외전 (남조선 해방전쟁 프로젝트),"10,620",소설 127위,2023.11.30.
종의 기원 (정유정 장편소설),"14,970",소설 100위,2016.05.16.
"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을","6,500",소설 72위,2023.11.13.
이반 일리치의 죽음,"8,190",소설 132위,2023.12.08.
바다가 들리는 편의점(겨울 한정판 에디션),"6,500",소설 30위,2023.11.30.
멋진 신세계,"12,830",소설 35위,2015.06.12.
"불편한 편의점 (김호연 장편소설, 40만부 기념 벚꽃 에디션)","9,450",소설 8위,2021.04.20.
파견자들 (김초엽 장편소설),"10,260",소설 43위,2023.10.13.
아침 그리고 저녁 (욘 포세 장편소설ㅣ2023년 노벨문학상 수상작가 욘 포세 소설),"7,560",소설 45위,2019.07.26.
연금술사 (파울로 코엘료 장편소설),"18,810",소설 136위,2018.12.05.
구의 증명,"10,350",소설 11위,2023.04.26.
동물농장,"7,460",소설 77위,2009.01.07.
1984,"12,600",소설 53위,2007.03.30.
회색 인간,"8,820",소설 44위,2017.12.27.
싯다르타,"16,250",소설 28위,2002.01.20.
해리 포터와 비밀의 방(미나리마 에디션),"7,600",소설 115위,2021.10.26.
노르웨이의 숲,"18,000",소설 32위,2017.08.07.
이방인,"10,690",소설 29위,2019.09.02.
심판,"7,920",소설 110위,2020.09.05.
"용의자 X의 헌신 (제134회 나오키상 수상작, 갈릴레오 시리즈 3)수상작","8,000",소설 105위,2017.08.30.
해리 포터와 마법사의 돌 1 (해리포터 20주년 개정판),"7,560",소설 101위,2019.11.19.
노인과 바다,"10,800",소설 62위,2012.01.02.
장하리 (자유와 진실을 향한 외침),"8,640",소설 133위,2023.11.28.
가면산장 살인사건,"6,300",소설 85위,2014.09.26.
해리 포터와 마법사의 돌 2 (해리포터 20주년 개정판),"5,040",소설 120위,2019.11.19.
차라투스트라는 이렇게 말했다,"4,000",소설 137위,2004.01.02.
오만과 편견,"8,550",소설 130위,2009.01.20.
해리 포터와 비밀의 방 1(해리포터 20주년 개정판),"6,930",소설 146위,2019.11.19.
고려거란전쟁(상) (고려의 영웅들),"4,750",소설 79위,2023.11.02.
아몬드 (제10회 창비 청소년문학상 수상작),"11,120",소설 142위,2023.07.14.
브람스를 좋아하세요,"8,190",소설 69위,2008.05.02.
악의,"6,840",소설 102위,2019.07.25.
고려거란전쟁(하) (고려의 영웅들),"5,040",소설 104위,2023.11.02.
설국,"28,220",소설 50위,2009.01.20.
붉은 궁,"14,540",소설 128위,2023.10.25.
고도를 기다리며 (1969년도 노벨문학상 수상작),"10,710",소설 46위,2012.02.20.
1984,"8,100",소설 98위,2021.12.08.
시지프 신화,"6,300",소설 71위,2016.06.17.
우주 여행자를 위한 한국살이 가이드북,"10,180",소설 108위,2023.07.21.
죄와 벌 1,"9,410",소설 129위,2012.03.30.
참을 수 없는 존재의 가벼움,"6,930",소설 147위,2009.12.24.
부처스 크로싱 (존 윌리엄스 장편소설),"5,500",소설 52위,2023.09.18.
외투,"11,120",소설 75위,2017.06.30.
살인자의 쇼핑몰 2 (디즈니플러스 오리지널 시리즈 <킬러들의 쇼핑몰> 원작 소설),"14,370",소설 23위,2023.07.28.
불편한 편의점 2 (김호연 장편소설),"10,584",소설 25위,2022.08.10.
잘못된 장소 잘못된 시간,"7,020",소설 83위,2023.07.27.
메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션) (윤정은 장편소설),"13,320",소설 15위,2023.03.06.
비가 오면 열리는 상점(윈터에디션) (유영광 장편소설),"5,250",소설 70위,2023.06.14.
오늘날 혁명은 왜 불가능한가 (모두가 똑같고 모두가 고립된 세상에서),"12,600",인문 68위,2024.01.17.
마지막 마음이 들리는 공중전화 (이수연 장편소설),"8,820",소설 9위,2024.01.15.
인생(위화 작가 등단 40주년 기념 리커버 특별판) (위화 장편소설),"15,390",소설 141위,2023.09.05.
